TruckID	Inbound	Axles	DateIn	Save
19	32380.000000	1	4/18/2015 02:50 PM	YES
4S20	33860.000000	1	3/23/2015 12:43 PM	YES
706	35240.000000	1	4/15/2015 01:25 PM	YES
83	34640.000000	1	3/20/2015 06:25 PM	NO
JACKSON 83	110180.000000	1	3/20/2015 05:16 PM	YES
58	83560.000000	1	4/20/2015 09:26 AM	YES
44S	34080.000000	1	4/8/2015 06:53 PM	YES
689	31900.000000	1	4/20/2015 12:40 PM	YES
7	26040.000000	1	3/17/2015 02:45 PM	YES
21	74560.000000	1	4/13/2015 10:44 AM	YES
12	77320.000000	1	4/2/2015 07:46 AM	YES
14	7580.000000	1	3/17/2015 03:36 PM	NO
37	32580.000000	1	4/1/2015 07:30 AM	YES
51	32900.000000	1	3/25/2015 02:07 PM	YES
109	32640.000000	1	4/1/2015 10:47 AM	NO
92	70240.000000	2	3/19/2015 08:02 AM	YES
10	43160.000000	1	3/25/2015 08:49 AM	YES
203	35400.000000	1	4/22/2015 09:03 AM	YES
073182	80180.000000	1	4/7/2015 01:22 PM	YES
100	30020.000000	1	3/25/2015 12:27 PM	YES
807	35560.000000	1	4/6/2015 11:32 AM	YES
689IDM	33300.000000	1	4/5/2015 10:38 AM	YES
ALVAREZ	6940.000000	1	3/27/2015 01:21 PM	YES
201	35400.000000	1	4/20/2015 08:10 AM	YES
10327	77680.000000	1	3/27/2015 02:29 PM	NO
19C	32360.000000	1	4/16/2015 05:28 PM	YES
8	30620.000000	1	4/4/2015 08:37 AM	YES
532	35620.000000	1	4/20/2015 09:15 AM	YES
805IM	35560.000000	1	3/31/2015 03:10 PM	YES
807IM	35100.000000	1	3/29/2015 12:54 PM	YES
94	37980.000000	1	4/1/2015 03:40 PM	YES
21 	74560.000000	1	4/13/2015 10:44 AM	YES
807ID	34980.000000	1	4/14/2015 04:45 PM	YES
MV 1	8820.000000	1	4/2/2015 09:28 AM	YES
1433	73460.000000	1	4/6/2015 10:29 AM	YES
508	34620.000000	1	3/30/2015 04:21 PM	YES
1JL	9680.000000	1	3/30/2015 04:57 PM	YES
85	41040.000000	1	3/30/2015 05:23 PM	YES
70	34660.000000	1	3/30/2015 05:42 PM	YES
20	77180.000000	1	3/30/2015 06:03 PM	NO
504	36540.000000	1	4/3/2015 05:22 AM	YES
101	38700.000000	1	4/3/2015 06:58 AM	YES
1M	10960.000000	1	4/3/2015 09:52 AM	NO
214	35360.000000	1	4/3/2015 02:42 PM	YES
12D	35220.000000	1	4/8/2015 09:44 AM	YES
UN53	106680.000000	1	4/8/2015 08:55 AM	YES
201AAA	43980.000000	1	4/8/2015 09:09 AM	YES
53	43540.000000	1	4/8/2015 10:04 AM	YES
ID807	35460.000000	1	4/8/2015 02:12 PM	YES
107A	39200.000000	1	4/8/2015 02:18 PM	YES
104A	38680.000000	1	4/8/2015 03:12 PM	YES
14A	13540.000000	1	4/8/2015 03:32 PM	YES
9P	37260.000000	1	4/9/2015 01:19 PM	YES
1080	79860.000000	1	4/9/2015 08:21 PM	YES
15	69200.000000	2	4/10/2015 01:23 PM	NO
16315	77540.000000	1	4/11/2015 09:56 AM	YES
HILL	12860.000000	1	4/11/2015 10:11 AM	YES
44	33880.000000	1	4/11/2015 12:01 PM	YES
44SO	97300.000000	1	4/14/2015 12:23 PM	YES
4S24	31300.000000	1	4/14/2015 01:21 PM	YES
204	32640.000000	1	4/15/2015 08:00 AM	YES
0111	188040.000000	2	4/16/2015 11:56 AM	YES
1073	93580.000000	1	4/15/2015 05:42 PM	YES
1073B	57280.000000	1	4/15/2015 09:10 PM	YES
203AAA	44480.000000	1	4/16/2015 10:05 AM	YES
3HUBER	29200.000000	1	4/16/2015 01:49 PM	YES
39	36900.000000	1	4/16/2015 02:35 PM	YES
24	38040.000000	1	4/17/2015 10:23 AM	YES
111	39280.000000	1	4/17/2015 04:05 PM	NO
0111 CHAD	39280.000000	1	4/17/2015 04:05 PM	YES
S58	32820.000000	1	4/20/2015 04:47 PM	YES
P12	38200.000000	1	4/20/2015 05:45 PM	YES
95	37720.000000	1	4/22/2015 03:42 PM	NO
36	35640.000000	1	4/21/2015 09:31 AM	YES
34S	103900.000000	1	4/21/2015 04:06 PM	YES
34 S	34360.000000	1	4/21/2015 05:40 PM	YES
11	36400.000000	1	4/22/2015 11:15 AM	YES
GX1	25760.000000	1	4/22/2015 01:08 PM	YES
A203	33440.000000	1	4/22/2015 01:33 PM	YES
IDM689	33900.000000	1	4/22/2015 02:19 PM	YES
A95	37700.000000	1	4/22/2015 03:42 PM	YES
